row_type,played_note,played_midi,played_freq,band_index,band_center_freq,band_fmin,band_fmax,scan_direction,candidate_f0,candidate_note,pitchyinfft_score,candidate_in_band,delta_cents_vs_played,fft_band_f0,fft_band_note,fft_band_score,fft_band_selected,hps_f0,hps_note,hps_score,hps_multi_note,candidate_fft_local_f0,candidate_fft_local_note,candidate_fft_local_score,candidate_hps_local_f0,candidate_hps_local_note,candidate_hps_local_score,candidate_hps_band_note,candidate_hps_agreement,candidate_final_score,refine_selected,refined_from_note,refined_from_f0,refined_f0,refined_note,refined_score,refined_delta_cents,chosen_note,chosen_f0,chosen_score,chosen_method,chosen_note_2,chosen_f0_2,chosen_score_2,chosen_method_2,chosen_note_3,chosen_f0_3,chosen_score_3,chosen_method_3,chosen_note_4,chosen_f0_4,chosen_score_4,chosen_method_4,candidate_top_notes
summary,A5,81,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B♭5,82,932.3275230361799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B5,83,987.7666025122483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C6,84,1046.5022612023945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C♯6,85,1108.7305239074883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,D6,86,1174.6590716696303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E♭6,87,1244.5079348883237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E6,88,1318.5102276514797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F6,89,1396.9129257320155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F♯6,90,1479.9776908465376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G6,91,1567.981743926997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G♯6,92,1661.2187903197805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,A6,93,1760.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B♭6,94,1864.6550460723597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B6,95,1975.533205024496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C7,96,2093.004522404789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,C♯7,97,2217.4610478149766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,D7,98,2349.31814333926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E♭7,99,2489.0158697766474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,E7,100,2637.02045530296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F7,101,2793.825851464031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,F♯7,102,2959.955381693075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G7,103,3135.9634878539946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,G♯7,104,3322.437580639561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,A7,105,3520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
summary,B♭7,106,3729.3100921447194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_candidate,,,,no_candidate,,,,no_candidate,,,,no_candidate,
